establecimiento,razon_social,rubro
GANADERA VALLE HUEMULES S.A.,VALLE HUEMULES,GANADERIA
GARCIA SALVADOR O.,SAN GENARO,GANADERIA
GORDON MARY ANN Y RIBAYA EDUARDO SH,ELVIRA,GANADERIA
GUENGUEL S.R.L.,EL RELINCHO - LINDO PARAJE - EL PICADERO,GANADERIA
IANNINI S.A.,EL PICHE - SAN AMBROSIO,GANADERIA
JUAN MAZQUIARAN E HILDA VERDE SH,CAÑADON TACHO,GANADERIA
LA ELISITA S.A.,LA ELISITA Y EL CHANGUITO,GANADERIA
"LOPEZ, CLAUDIA BEATRIZ",CBL,FRUTICULTURA
MAMINA SRL,ESTABLECIMIENTO MAMINA,FRUTICULTURA
MAZQUIARAN NELSON,LA ANGELITA (ANIMAL),GANADERIA
MOTTINO CARLOS ANGEL,LOS MANANTIALES (ANIMAL),GANADERIA
PARALELO 42  S.A.,VALLE DEL MEDIO,FRUTICULTURA
PARALELO 42  S.A.,VALLE DEL MEDIO,HORTICULTURA
PATAGONIA IND. LANAR S.A.C.I.F.I. Y A.,CARIDAD,GANADERIA
PUNTA QUIROGA S.A.,DON FRANCISCO,GANADERIA
RAICES PATAGONICAS S.A.,EL MIRABUENO (ANIMAL),GANADERIA
ROSA PATAGONICA S.A.,ROSA PATAGONICA,RECOLECCION SILVESTRE
ROSANA N. PORCU,CAMINO VIEJO,FRUTICULTURA
SCHULZE HERNAN LEO,LAS MELLIZAS Y SECCION LA BUENA FE (ANIMAL),GANADERIA
SUCESORES DE RAMON LORENZO Y OTROS,LA NICOLASA,GANADERIA
TIRSO FERNANDEZ  PEÑA,EL RISCOSO,GANADERIA
TORRES FEDERICO PATRICIO,LAS TIJERAS,GANADERIA
VIÑAS MARIA TERESA,POZO HONDO (ANIMAL),GANADERIA
BOTTEGAL JUAN ANGEL Y BOTTEGAL JULIO CESAR S.H.,ZONA DE ISLAS ENTRE RIOS,APICULTURA
CAMPO MALAMBO S.A.,CAMPO MALAMBO,AGRICULTURA
CAUPOLICAN S.R.L.,LA CATALINA,AGRICULTURA
ECA  SA,LA 83,FRUTICULTURA
ESTANCIA LAGUNA BLANCA S.A.,LAGUNA BLANCA,AGRICULTURA
FIDEICOMISO ARANDANOS DEL HEMISFERIO SUR,FIDEICOMISO ARANDANOS DEL HEMISFERIO SUR,FRUTICULTURA
FIGUEROA BUNGE MARIANO,LA EVANGELINA,AGRICULTURA
GRACIA LUZ DON,LA ESMERADA,AGRICULTURA
GUIDOBONO JOSE MARIA,LA URBANA,AGRICULTURA
GUILLERMO JAUCK Y HERMANOS SOCIEDAD DE HECHO,EL TAJAMAR,HORTICULTURA
IGFO SA,LA ESPERANZA,FRUTICULTURA
