establecimiento,razon_social,productos
GIMAI SA,LA AMISTAD,CEDRON
GIMAI SA,LA AMISTAD,SALVIA
GIMAI SA,LA AMISTAD,MENTA
GIMAI SA,LA AMISTAD,MELISA
GIMAI SA,LA AMISTAD,TOMILLO
GIMAI SA,LA AMISTAD,ROMERO
GIMAI SA,LA AMISTAD,MOSTAZA
GIMAI SA,LA AMISTAD,CURCUMA
GIMAI SA,LA AMISTAD,AJENJO
GIMAI SA,LA AMISTAD,KALE
GIMAI SA,LA AMISTAD,LIMON
GIMAI SA,LA AMISTAD,MANZANA
GIMAI SA,LA AMISTAD,BROCOLI
GIMAI SA,LA AMISTAD,AJO
GIMAI SA,LA AMISTAD,ALCAUCIL.
GONZALEZ ELVIO,VILLA BALLESTER,CEREALES Y OLEAGINOSAS
GONZALEZ ELVIO,LAS CIEN,CEREALES Y OLEAGINOSAS
GONZALEZ ELVIO,EX ARTEL,CEREALES Y OLEAGINOSAS
GONZALEZ ZUGASTI ESTEBAN ANTONIO,PAITITI,PASTURAS
GONZALEZ ZUGASTI ESTEBAN ANTONIO,PAITITI,SORGO
GONZALEZ ZUGASTI ESTEBAN ANTONIO,PAITITI,CEBADA
GONZALEZ ZUGASTI ESTEBAN ANTONIO,PAITITI,TRIGO
GONZALEZ ZUGASTI ESTEBAN ANTONIO,PAITITI,CAMPO NATURAL
HUENU CRESTA Y MUTICIA CRESTA SH,CANDELA,GANADERIA BOVINA
ILGNER ANGEL E. Y PRESA STELLA M.,LOTE 118 Y  LA ALICIA,CEREALES
ILGNER HECTOR,LA GABRIELITA,AVENA
ILGNER HECTOR,LA GABRIELITA,CEBADA
ILGNER HECTOR,LA GABRIELITA,TRIGO
ILGNER OSCAR FELIPE,SAN AGUSTIN,ZAPALLO RED HOKKAIDO
ILGNER OSCAR FELIPE,SAN AGUSTIN,CEBOLLA
ILGNER RAUL ALBERTO,FRUTO DE LA FE,AVENA
ILGNER RAUL ALBERTO,FRUTO DE LA FE,TRIGO
ILGNER SEBASTIAN,LOS MEXICANOS,AVENA
ILGNER SEBASTIAN,LOS MEXICANOS,TRIGO
INNOCENTI MONICA,KIWI Y CHAMPIGNON,KIWI
INNOCENTI MONICA,KIWI Y CHAMPIGNON,DESCANSO
INNOCENTI MONICA,KIWI Y CHAMPIGNON,MONTE
INTERRUPCION S.A.,LAS LOMAS,SOJA
"JAÑEZ, MARIA PILAR",EL CHARA,GANADERIA BOVINA
KROHN ARNOLDO Y MARTIN LUIS ENRIQUE SH,EL SATELITE,TRIGO
KROHN ARNOLDO Y MARTIN LUIS ENRIQUE SH,MARY YAN,TRIGO
KUMAGRO S.A.,CAMPO ALVEAR,MAIZ
KUMAGRO S.A.,CAMPO ALVEAR,CENTENO
KUMAGRO S.A.,CAMPO ALVEAR,DESCANSO
KUMAGRO S.A.,CAMPO ALVEAR,SOJA
KUMAGRO S.A.,CAMPO ALVEAR,ABONO VERDE
HIGH DOOR S.A.,TALLO VERDE,ESPINACA
HIGH DOOR S.A.,TALLO VERDE,REPOLLO
HIGH DOOR S.A.,TALLO VERDE,ACELGA
HIGH DOOR S.A.,TALLO VERDE,LECHUGA
HIGH DOOR S.A.,TALLO VERDE,RADICHETA
HIGH DOOR S.A.,TALLO VERDE,NABO
HIGH DOOR S.A.,TALLO VERDE,RUCULA
HIGH DOOR S.A.,TALLO VERDE,HINOJO
HIGH DOOR S.A.,TALLO VERDE,BROCOLI
HIGH DOOR S.A.,TALLO VERDE,ZANAHORIA
HIGH DOOR S.A.,TALLO VERDE,PUERRO
HIGH DOOR S.A.,TALLO VERDE,ESPARRAGOS
HIGH DOOR S.A.,TALLO VERDE,BERENJENA
HIGH DOOR S.A.,TALLO VERDE,TOMATE
HIGH DOOR S.A.,TALLO VERDE,AJI
HIGH DOOR S.A.,TALLO VERDE,PIMIENTO
HIGH DOOR S.A.,TALLO VERDE,FRUTILLA
HIGH DOOR S.A.,TALLO VERDE,BATATA
HIGH DOOR S.A.,TALLO VERDE,ZAPALLO
HIGH DOOR S.A.,TALLO VERDE,REMOLACHA
HIGH DOOR S.A.,TALLO VERDE,ALCAUCIL
HIGH DOOR S.A.,TALLO VERDE,APIO
HIGH DOOR S.A.,TALLO VERDE,RABANITO
HIGH DOOR S.A.,TALLO VERDE,CEBOLLA
HIGH DOOR S.A.,TALLO VERDE,ZUCCHINI
HIGH DOOR S.A.,TALLO VERDE,NARANJA
HIGH DOOR S.A.,TALLO VERDE,LIMON
HIGH DOOR S.A.,TALLO VERDE,MANDARINA
HIGH DOOR S.A.,TALLO VERDE,POMELO
HIGH DOOR S.A.,TALLO VERDE,HIGOS
HIGH DOOR S.A.,TALLO VERDE,CIRUELA
HIGH DOOR S.A.,TALLO VERDE,QUINOTO
HIGH DOOR S.A.,TALLO VERDE,NUEZ
HIGH DOOR S.A.,TALLO VERDE,ALMENDRAS
HIGH DOOR S.A.,TALLO VERDE,PALTA
HIGH DOOR S.A.,TALLO VERDE,ZAPALLITO
KUMAGRO S.A.,LOS PINOS,SOJA
KUMAGRO S.A.,LOS PINOS,ABONO VERDE
KUMAGRO S.A.,LA LUCIA II,MAIZ
KUMAGRO S.A.,MAC GRATH,MAIZ
KUMAGRO S.A.,LOS PARAISOS,SOJA
KUMAGRO S.A.,LOS PARAISOS,MAIZ
KUMAGRO S.A.,LA BLANQUEADA,SOJA
KUMAGRO S.A.,LA BLANQUEADA,ARVEJA
KUMAGRO S.A.,LA BLANQUEADA,MAIZ
KUMAGRO S.A.,LA BLANQUEADA,RESIDUO VEGETAL
KUMAGRO S.A.,OJEA,CENTENO
KUMAGRO S.A.,OJEA,MAIZ PISINGALLO
KUMAGRO S.A.,OJEA,DESCANSO
KUMAGRO S.A.,OJEA,SOJA
LA CATALINA SCA,LA CATALINA ORGANICA,CEBADA
LA CATALINA SCA,LA CATALINA ORGANICA,TRIGO
LA CATALINA SCA,LA CATALINA ORGANICA,GANADERIA BOVINA
LA VENTURA & ASOCIADOS S.A.,LA VENTURA Y LA MARIA SUR,VACAS
LA VENTURA & ASOCIADOS S.A.,LA VENTURA Y LA MARIA SUR,TERNERAS
LA VENTURA & ASOCIADOS S.A.,LA VENTURA Y LA MARIA SUR,TOROS
LA VENTURA & ASOCIADOS S.A.,LA VENTURA Y LA MARIA SUR,VAQUILLONAS
LA VENTURA & ASOCIADOS S.A.,LA VENTURA Y LA MARIA SUR,NOVILLOS
LAFONTAINE SILVIA ELENA,LA MADRECITA,GIRASOL ALTO OLEICO
LAFONTAINE SILVIA ELENA,LA MADRECITA,DINKEL
LAVANDAS DE LAS SIERRAS S.R.L.,EL PANTANOSO,ROMERO
LAVANDAS DE LAS SIERRAS S.R.L.,EL PANTANOSO,LAVANDA
LAVANDAS DE LAS SIERRAS S.R.L.,EL PANTANOSO,LAVANDIN
LAVANDAS DE LAS SIERRAS S.R.L.,EL PANTANOSO,OREGANO
LAVANDAS DE LAS SIERRAS S.R.L.,EL PANTANOSO,TOMILLO
LAVANDAS DE LAS SIERRAS S.R.L.,EL PANTANOSO,SALVIA
LAVANDAS DE LAS SIERRAS S.R.L.,EL PANTANOSO,HISOPO
LAVANDAS DE LAS SIERRAS S.R.L.,EL PANTANOSO,MELISA
LAVANDAS DE LAS SIERRAS S.R.L.,EL PANTANOSO,AJEDREA
"LIMARDO, RAFAEL OSVALDO",LA SALADA,SORGO FORRAJERO
"LIMARDO, RAFAEL OSVALDO",LA SALADA,GIRASOL
"LIMARDO, RAFAEL OSVALDO",LA SALADA,GANADERIA BOVINA
"LIMARDO, RAFAEL OSVALDO",LA SALADA,GANADERIA OVINA
"LIN, SANTIAGO",SANTIAGO LIN,RUCULA CHINA
"LIN, SANTIAGO",SANTIAGO LIN,NIRA
"LIN, SANTIAGO",SANTIAGO LIN,REMNOLACHA
"LIN, SANTIAGO",SANTIAGO LIN,PACK CHOI
"LIN, SANTIAGO",SANTIAGO LIN,REMOLACHA
"LIN, SANTIAGO",SANTIAGO LIN,BRASSICA CHINENSIS
"LIN, SANTIAGO",SANTIAGO LIN,BRASSICA ALBOGLABRA
"LIN, SANTIAGO",SANTIAGO LIN,BRASSICA JUNCEA
"LIN, SANTIAGO",SANTIAGO LIN,LECHUGA CHINA
"LIN, SANTIAGO",SANTIAGO LIN,RUCULA SELVATICA
"LIN, SANTIAGO",SANTIAGO LIN,APIO CHINO
"LIN, SANTIAGO",SANTIAGO LIN,ESPINACA
"LIN, SANTIAGO",SANTIAGO LIN,CRISANTEMO
"LIN, SANTIAGO",SANTIAGO LIN,IPOMOEA AQUATICA
"LIN, SANTIAGO",SANTIAGO LIN,BRASSICA NAPUS
LOVINAC S.A.,TRES MARIAS,VACAS
LOVINAC S.A.,TRES MARIAS,TERNERAS
LOVINAC S.A.,TRES MARIAS,TOROS
LUIS A. DUCRET Y CIA. S.A.,GARIBALDI,PASTURAS
LUIS A. DUCRET Y CIA. S.A.,EL PUESTO,MAIZ PISINGALLO
LUIS A. DUCRET Y CIA. S.A.,EL PUESTO,DESCANSO
LUIS A. DUCRET Y CIA. S.A.,EL PUESTO,GIRASOL ALTO OLEICO
LUIS A. DUCRET Y CIA. S.A.,EL RADAR,CEREALES Y OLEAGINOSAS
MAGADAN LOPEZ MAXIMO PEDRO,LA VENTURA - SANTA BENITA,ALZA MELARIA
MAGADAN LOPEZ MAXIMO PEDRO,LA VENTURA - SANTA BENITA,COLMENAS
MAGADAN LOPEZ MAXIMO PEDRO,LA VENTURA - SANTA BENITA,NUCLEOS
MAGADAN LOPEZ MAXIMO PEDRO,SANTA BENITA,TOROS
MAGADAN LOPEZ MAXIMO PEDRO,SANTA BENITA,VACAS
MAGADAN LOPEZ MAXIMO PEDRO,SANTA BENITA,TERNERAS
MAGADAN LOPEZ MAXIMO PEDRO,SANTA BENITA,TERNEROS
"MAZAIRA, GUILLERMO A.",CHACRA G Y K,ALFALFA
"MAZAIRA, GUILLERMO A.",CHACRA G Y K,TRIGO
"MAZAIRA, GUILLERMO A.",CHACRA G Y K,CENTENO
MICAELA ANDREA SASAKI,CULTIVOS ORGANICOS SASAKI,HORTALIZAS
MIRTA LOPEZ,REDONDEL,HORTALIZAS
MISKA SA,SAN LUIS,CEREALES Y OLEAGINOSAS
MISKA SA,DON GREGORIO,CEREALES Y OLEAGINOSAS
MISKA SA,BREIZH,CEREALES Y OLEAGINOSAS
MISKA SA,LOS VERDES,CEREALES Y OLEAGINOSAS
MISKA SA,CONSTANTIN,CEREALES Y OLEAGINOSAS
MISKA SA,LOIZA,CEREALES Y OLEAGINOSAS
MOA INTERNACIONAL A.C. DE FILOSOFIA Y CULTURA,ZUISENKIO DERQUI,ZANAHORIA
MOA INTERNACIONAL A.C. DE FILOSOFIA Y CULTURA,ZUISENKIO DERQUI,CEBOLLA VERDEO
MOA INTERNACIONAL A.C. DE FILOSOFIA Y CULTURA,ZUISENKIO DERQUI,REPOLLO
MOA INTERNACIONAL A.C. DE FILOSOFIA Y CULTURA,ZUISENKIO DERQUI,LECHUGA
MOA INTERNACIONAL A.C. DE FILOSOFIA Y CULTURA,ZUISENKIO DERQUI,ACELGA
MOA INTERNACIONAL A.C. DE FILOSOFIA Y CULTURA,ZUISENKIO DERQUI,PEREJIL
MOA INTERNACIONAL A.C. DE FILOSOFIA Y CULTURA,ZUISENKIO DERQUI,RUCULA
MOA INTERNACIONAL A.C. DE FILOSOFIA Y CULTURA,ZUISENKIO DERQUI,PUERRO
MOA INTERNACIONAL A.C. DE FILOSOFIA Y CULTURA,ZUISENKIO DERQUI,NABO
MOA INTERNACIONAL A.C. DE FILOSOFIA Y CULTURA,ZUISENKIO DERQUI,AJO
MOA INTERNACIONAL A.C. DE FILOSOFIA Y CULTURA,ZUISENKIO DERQUI,ESPINACA
MOA INTERNACIONAL A.C. DE FILOSOFIA Y CULTURA,ZUISENKIO DERQUI,RADICHETA
NEO ARGENTO SC,LAS TRES NENAS,INCULTO
NEO ARGENTO SC,LAS TRES NENAS,AVENA
NEO ARGENTO SC,LAS TRES NENAS,PASTURAS
NEO ARGENTO SC,LAS TRES NENAS,CENTENO
NEO ARGENTO SC,LAS TRES NENAS,SORGO
NEO ARGENTO SC,LAS TRES NENAS,GIRASOL
NOVICK PABLO HORACIO,EL CUADRO DEL VASCO,CEREALES Y OLEAGINOSAS
NOVICK PABLO HORACIO,EL VASQUITO,CEREALES
"PERASSO, EMILIO CESAR",LA AMELIA,SORGO
PETROAGRO S.A.,DON BENEDETTO,SOJA
PETROAGRO S.A.,DON BENEDETTO,MAIZ
